,repository_name,language
0,apache_airflow,Python
1,automacao_github,Jupyter Notebook
2,cursos_portifolio,Python
3,Dataset-Citrus,Jupyter Notebook
4,Desafio-Target,Jupyter Notebook
5,github-readme-stats,
6,Jogos,
7,JogotecaFlask,Python
8,leonardo_costa_engenharia,HTML
9,linguagen-utilizada,
10,movieLens_data,Jupyter Notebook
11,PaullaAllbuquerque,
12,PaullaAllbuquerque-Python-Brasil---Estrutura-Decisao,Jupyter Notebook
13,PaullaAllbuquerque-Python-Brasil---Estrutura-Listas,Jupyter Notebook
14,PaullaAllbuquerque-Python-Brasil---Estrutura-Repeticao,Jupyter Notebook
15,Programas-para-FDS,Python
16,Python-Brasil---Estrutura-Sequencial,Jupyter Notebook
17,Python-Brasil---Funcoes,Jupyter Notebook
18,rafaballerini,
19,supply-chain-simulation-environment,
20,Trilha-rumo-Cientista-de-Dados,Python
